0;0
0;19
0;38
0;57
0;94
0;195
1;5
1;19
1;38
1;47
1;96
1;199
2;0
2;19
2;37
2;47
2;94
2;219
3;4
3;19
3;37
3;47
3;94
3;188
4;6
4;19
4;38
4;47
4;94
4;188
5;8
5;18
5;38
5;56
5;94
5;197
6;9
6;19
6;38
6;47
6;94
6;194
7;0
7;18
7;38
7;47
7;94
7;192
8;0
8;19
8;38
8;47
8;94
8;199
9;2
9;19
9;37
9;75
9;94
9;188
10;3
10;19
10;39
10;47
10;94
10;198
11;2
11;19
11;37
11;48
11;94
11;194
12;6
12;19
12;37
12;47
12;94
12;199
13;2
13;19
13;38
13;47
13;94
13;230
14;5
14;19
14;37
14;47
14;94
14;199
15;8
15;19
15;38
15;47
15;94
15;197
16;8
16;19
16;38
16;47
16;94
16;222
17;1
17;19
17;37
17;47
17;94
17;187
18;1
18;19
18;38
18;75
18;94
18;188
19;9
19;19
19;38
19;48
19;95
19;226
20;2
20;19
20;37
20;47
20;95
20;197
21;2
21;19
21;37
21;47
21;94
21;188
22;3
22;19
22;38
22;47
22;94
22;183
23;4
23;19
23;37
23;75
23;94
23;187
24;1
24;19
24;37
24;47
24;94
24;188
25;0
25;19
25;37
25;47
25;94
25;189
26;6
26;19
26;37
26;47
26;94
26;188
27;8
27;19
27;38
27;75
27;94
27;195
28;9
28;19
28;37
28;47
28;94
28;199
29;4
29;19
29;37
29;47
29;94
29;231
30;9
30;19
30;38
30;47
30;94
30;191
31;5
31;19
31;37
31;47
31;94
31;187
32;3
32;19
32;38
32;75
32;94
32;187
33;1
33;19
33;38
33;47
33;94
33;197
34;6
34;19
34;37
34;75
34;94
34;193
35;7
35;19
35;38
35;48
35;94
35;199
36;0
36;19
36;38
36;47
36;94
36;187
37;0
37;18
37;38
37;56
37;94
37;227
38;6
38;19
38;37
38;75
38;94
38;195
39;8
39;18
39;38
39;47
39;99
39;193
40;1
40;19
40;38
40;47
40;98
40;197
41;2
41;19
41;38
41;56
41;96
41;192
42;0
42;19
42;37
42;42
42;88
42;198
43;9
43;19
43;38
43;42
43;94
43;189
44;4
44;19
44;37
44;42
44;94
44;222
45;7
45;19
45;21
45;47
45;94
45;195
46;0
46;19
46;21
46;42
46;89
46;259
47;8
47;19
47;37
47;43
47;99
47;168
48;0
48;18
48;38
48;50
48;105
48;212
49;3
49;19
49;21
49;42
49;84
49;211
50;0
50;19
50;21
50;42
50;106
50;213
51;8
51;19
51;21
51;43
51;106
51;217
52;6
52;19
52;37
52;42
52;106
52;220
53;5
53;19
53;21
53;50
53;88
53;169
54;2
54;19
54;38
54;42
54;105
54;252
55;6
55;18
55;21
55;42
55;105
55;214
56;1
56;18
56;21
56;42
56;105
56;207
57;4
57;19
57;21
57;42
57;105
57;208
58;0
58;18
58;21
58;50
58;88
58;210
59;8
59;18
59;21
59;50
59;84
59;211
60;9
60;19
60;21
60;42
60;105
60;169
61;3
61;18
61;21
61;50
61;100
61;222
62;1
62;18
62;21
62;42
62;106
62;208
63;7
63;18
63;21
63;50
63;106
63;213
64;1
64;19
64;21
64;42
64;84
64;212
65;2
65;19
65;21
65;42
65;88
65;213
66;8
66;18
66;22
66;43
66;84
66;247
67;1
67;18
67;22
67;50
67;88
67;220
68;2
68;19
68;21
68;43
68;100
68;211
69;2
69;19
69;21
69;43
69;88
69;214
70;4
70;19
70;21
70;42
70;106
70;218
71;8
71;16
71;21
71;50
71;84
71;243
72;8
72;18
72;21
72;42
72;86
72;209
73;1
73;16
73;21
73;50
73;86
73;205
74;7
74;16
74;21
74;50
74;87
74;213
75;8
75;18
75;21
75;50
75;85
75;209
76;8
76;16
76;31
76;75
76;84
76;210
77;7
77;15
77;21
77;50
77;84
77;214
78;4
78;16
78;38
78;63
78;95
78;198
79;1
79;16
79;37
79;63
79;95
79;218
80;9
80;16
80;32
80;43
80;95
80;220
81;3
81;16
81;32
81;63
81;94
81;190
82;8
82;16
82;37
82;63
82;95
82;185
83;7
83;15
83;37
83;42
83;95
83;197
84;4
84;16
84;37
84;64
84;95
84;219
85;0
85;16
85;32
85;63
85;96
85;198
86;8
86;16
86;38
86;63
86;95
86;188
87;5
87;16
87;37
87;63
87;96
87;192
88;2
88;16
88;37
88;75
88;113
88;190
89;6
89;16
89;38
89;63
89;95
89;188
90;1
